detector,descriptor,#Img,#KptsPerFrame,#KptsMatched,TimeDetectorMs,TimeDescriptorMs,TimeMatchingMs,TTCLidar(s),TTCCamera(s)
HARRIS,ORB,11,1912,857,8.5324,12.5135,8.2489,6.95026e-310,6.9533e-310
HARRIS,ORB,12,1930,849,9.5089,12.5677,8.4152,3.39519e-313,6.32404e-322
HARRIS,ORB,13,1880,884,10.0964,12.5713,8.7419,4.04739e-320,3.73471e-312
HARRIS,ORB,14,1886,889,9.1842,12.7514,9.4591,3.30541e-317,7.90505e-323
HARRIS,ORB,15,1957,906,8.3921,12.6167,8.4411,6.95026e-310,9.88131e-324
HARRIS,ORB,16,1888,878,8.4434,13.8213,9.1906,3.30536e-317,2.37664e-312
HARRIS,ORB,17,1919,914,8.6794,12.1451,8.249,6.95026e-310,0

HARRIS,FREAK,0,1723,0,8.6622,10.8442,0,0,0
HARRIS,FREAK,1,1759,797,8.4986,11.1809,7.1459,0,0
HARRIS,FREAK,2,1820,779,8.4044,11.6953,7.2878,0,0
HARRIS,FREAK,3,1850,843,9.6608,11.7282,7.7307,0,0
HARRIS,FREAK,4,1828,792,9.1286,11.7715,8.5901,0,0
HARRIS,FREAK,5,1806,817,8.2821,11.8129,7.5465,0,0
HARRIS,FREAK,6,1877,805,8.4202,12.2393,7.5529,13.7511,21.358
HARRIS,FREAK,7,1894,780,8.2658,11.9313,7.8367,0,0
HARRIS,FREAK,8,1889,850,8.5433,11.6845,7.9412,0,0
HARRIS,FREAK,9,1917,842,8.5478,11.9289,8.0214,0,0
HARRIS,FREAK,10,1874,832,8.3241,11.7739,7.9117,4.94066e-324,-nan
HARRIS,FREAK,11,1912,857,8.4787,11.9921,7.9689,6.95026e-310,6.9533e-310
HARRIS,FREAK,12,1930,849,8.4265,12.2281,8.1651,3.39519e-313,6.32404e-322
HARRIS,FREAK,13,1880,884,8.6322,11.8051,8.0302,4.04739e-320,3.73471e-312
HARRIS,FREAK,14,1886,889,8.3641,12.1001,8.0523,3.30541e-317,7.90505e-323
